page,impressions,clicks,avg_position,queries,excluded_impressions
/blog/saffron-extract-vs-affron/,332,3,11.0,23,0
/blog/vitamin-d3-morning-or-night/,263,0,74.8,61,0
/blog/l-theanine-vs-caffeine/,244,0,83.4,94,0
/blog/vitamin-d3-vs-b12/,225,0,69.9,80,0
/blog/magnesium-glycinate-vs-chelate/,219,0,75.3,106,0
/blog/ashwagandha-vs-ksm-66/,159,0,68.0,76,0
/blog/omega-3-fish-oil-vs-cod-liver-oil/,150,0,68.6,99,0
/blog/magnesium-glycinate-morning-or-night/,122,0,62.5,86,0
/blog/ashwagandha-vs-ginseng/,117,0,67.3,46,0
/guides/gut-brain/,112,0,81.5,10,0
/blog/adaptogens-ashwagandha-rhodiola/,96,0,76.2,34,0
/blog/rhodiola-dosage-cycling/,67,0,66.6,47,0
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,59,0,8.9,5,0
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,59,0,8.9,5,0
/blog/omega-3-fish-oil-vs-algae/,53,0,79.8,20,0
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,50,0,9.0,5,0
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,50,0,9.0,5,0
/blog/how-long-does-it-take-for-l-theanine-to-work/,49,0,42.1,37,0
/blog/vitamin-d3-vs-calcitriol/,48,0,44.6,27,0
/products/probiotic-gut-brain/,46,0,78.8,7,0
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,44,0,82.8,20,0
/blog/can-you-take-ashwagandha-with-lexapro/,36,0,50.3,26,0
/blog/magnesium-glycinate-vs-bisglycinate/,31,0,60.7,18,0
/blog/saffron-extract-vs-ashwagandha/,28,0,60.6,13,0
/products/,27,0,83.9,5,0
/products/vitamin-d3/,27,0,91.6,2,0
/blog/how-long-does-magnesium-glycinate-take-to-work/,26,0,54.5,15,0
/blog/5-htp-vs-ashwagandha/,24,0,58.7,16,0
/blog/glycine-vs-b12/,14,1,10.8,3,0
/blog/how-long-does-saffron-extract-take-to-work/,12,0,24.7,10,0
/blog/ashwagandha-cortisol-research/,11,0,71.2,7,0
/blog/lemon-balm-vs-ashwagandha/,11,0,61.6,6,0
/blog/,11,0,78.0,9,0
/blog/can-you-take-saffron-extract-with-lexapro/,11,0,43.3,9,3
/blog/saffron-pms-mood-swings/,10,0,72.3,8,0
/blog/rhodiola-rosea-vs-ashwagandha/,10,0,77.7,6,0
/blog/l-theanine-dosage-anxiety/,9,0,65.2,9,0
/blog/b-vitamins-stress-adrenal/,6,0,50.8,2,0
/products/saffron-extract/,4,0,55.2,3,0
/products/l-theanine/,4,0,80.5,3,0
/blog/l-theanine-for-sleep/,4,0,62.5,4,0
/blog/magnesium-glycinate-vs-citrate/,4,0,74.2,2,0
/blog/best-time-to-take-fish-oil/,3,0,60.3,3,0
/guides/anxiety/,3,0,51.7,2,0
/blog/can-you-take-l-theanine-with-lexapro/,3,0,37.7,3,0
/blog/5-htp-serotonin-safety/,2,0,9.5,2,198
/blog/can-you-take-5-htp-with-adderall/,2,0,8.5,2,0
/blog/l-theanine-kids-teens-safety/,2,0,42.5,2,1
/blog/l-tryptophan-and-melatonin-together/,2,0,81.0,1,0
/products/omega-3-fish-oil/,2,0,68.5,2,0
/blog/omega-3-dosage-for-mood/,2,0,68.5,2,0
/blog/can-you-take-holy-basil-with-prozac/,1,0,46.0,1,0
/blog/how-long-does-rhodiola-rosea-take-to-work/,1,0,36.0,1,0
/get-help/,1,0,84.0,1,0
/blog/omega-3-brain-mood-evidence/,1,0,63.0,1,2
/blog/silexan-lavender-dosage/,1,0,66.0,1,0
/products/ashwagandha/,1,0,80.0,1,1
/guides/low-mood/,1,0,95.0,1,0
/blog/can-you-take-l-tyrosine-with-adderall/,1,0,50.0,1,0
/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,0,0,,0,1
/blog/can-you-take-lemon-balm-with-levothyroxine/,0,0,,0,1
