keyword,seed_product,category,intent,difficulty_observed,priority_score,source,serp_evidence_note
can you take magnesium glycinate and melatonin together,magnesium glycinate,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take rhodiola rosea with levothyroxine,rhodiola rosea,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take 5-htp with adderall,5-htp,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take omega 3 fish oil with statins,omega-3 fish oil,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take lemon balm and melatonin together,lemon balm,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take lemon balm with levothyroxine,lemon balm,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take valerian root and melatonin together,valerian root,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take l tryptophan and melatonin together,l-tryptophan,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
l-tryptophan and melatonin together,l-tryptophan,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take holy basil with prozac,holy basil,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
can you take l-tyrosine with adderall,l-tyrosine,interaction,Informational,Low,9,own-harvest-2026-07-05,"Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine)"
l-theanine vs ashwagandha,l-theanine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
l-theanine vs caffeine,l-theanine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
ashwagandha vs ginseng,ashwagandha,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
ashwagandha vs ksm 66,ashwagandha,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
magnesium glycinate vs bisglycinate,magnesium glycinate,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Same compound, different label name -- reframe as myth-bust explainer, not a real vs-comparison (validated: glycinate/bisglycinate)"
magnesium glycinate vs chelate,magnesium glycinate,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Same compound, different label name -- reframe as myth-bust explainer, not a real vs-comparison (validated: glycinate/bisglycinate)"
rhodiola rosea vs ashwagandha,rhodiola rosea,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
rhodiola rosea vs ashwagandha for anxiety,rhodiola rosea,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
5-htp vs 5-ht,5-htp,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
5-htp vs ashwagandha,5-htp,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
saffron extract vs affron,saffron extract,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
saffron extract vs ashwagandha,saffron extract,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
