CLUSTER:lemon-balm | KEYWORD:can you take lemon balm and melatonin together | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take lemon balm and melatonin together'. | SLUG:can-you-take-lemon-balm-and-melatonin-together | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:valerian-root | KEYWORD:can you take valerian root and melatonin together | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take valerian root and melatonin together'. | SLUG:can-you-take-valerian-root-and-melatonin-together | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:l-tryptophan | KEYWORD:can you take l tryptophan and melatonin together | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take l tryptophan and melatonin together'. | SLUG:can-you-take-l-tryptophan-and-melatonin-together | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:holy-basil | KEYWORD:can you take holy basil with prozac | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take holy basil with prozac'. | SLUG:can-you-take-holy-basil-with-prozac | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:lemon-balm | KEYWORD:can you take lemon balm with levothyroxine | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take lemon balm with levothyroxine'. | SLUG:can-you-take-lemon-balm-with-levothyroxine | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:l-tyrosine | KEYWORD:can you take l-tyrosine with adderall | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'can you take l-tyrosine with adderall'. | SLUG:can-you-take-l-tyrosine-with-adderall | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:l-tryptophan | KEYWORD:l-tryptophan and melatonin together | ANGLE:Rare/uncommon drug pairing -- SERP is small niche health blogs, no major authority (validated: rhodiola+levothyroxine). Keyword: 'l-tryptophan and melatonin together'. | SLUG:l-tryptophan-and-melatonin-together | PRODUCTS:  | TYPE:interaction | PRIORITY:P1
CLUSTER:l-theanine | KEYWORD:l-theanine vs caffeine | ANGLE:Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs). Keyword: 'l-theanine vs caffeine'. | SLUG:l-theanine-vs-caffeine | PRODUCTS: l-theanine | TYPE:comparison | PRIORITY:P1
CLUSTER:ashwagandha | KEYWORD:ashwagandha vs ksm 66 | ANGLE:Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs). Keyword: 'ashwagandha vs ksm 66'. | SLUG:ashwagandha-vs-ksm-66 | PRODUCTS: ashwagandha | TYPE:comparison | PRIORITY:P1
CLUSTER:magnesium-glycinate | KEYWORD:magnesium glycinate vs chelate | ANGLE:Same compound, different label name -- reframe as myth-bust explainer, not a real vs-comparison (validated: glycinate/bisglycinate). Keyword: 'magnesium glycinate vs chelate'. | SLUG:magnesium-glycinate-vs-chelate | PRODUCTS: magnesium-glycinate | TYPE:comparison | PRIORITY:P1
CLUSTER:rhodiola-rosea | KEYWORD:rhodiola rosea vs ashwagandha for anxiety | ANGLE:Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs). Keyword: 'rhodiola rosea vs ashwagandha for anxiety'. | SLUG:rhodiola-rosea-vs-ashwagandha-for-anxiety | PRODUCTS: rhodiola-rosea | TYPE:comparison | PRIORITY:P1
