query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,21,0,9.05,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,15,0,9,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,13,0,9.31,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,11,0,10.55,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,9,0,7.56,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0,10.6,4,authority:memorial sloan kettering|permutation-burst
"""dietary supplement-drug interaction-induced serotonin syndrome"" 5-htp sertraline",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,9.75,3,quoted-phrase|permutation-burst
%memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10,4,authority:memorial sloan kettering|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,9.25,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.5,6,authority:official health source|research-jargon:\bofficial\b|permutation-burst
5-htp serotonin syndrome antidepressants official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.75,6,authority:official medical source|research-jargon:\bofficial\b|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,9,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
nih 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,7.33,4,authority:nih|permutation-burst
nih 5-htp supplement safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,8.67,4,authority:nih|permutation-burst
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9,4,authority:memorial sloan kettering|permutation-burst
5-htp interactions antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,8.5,4,authority:nih|permutation-burst
memorial sloan kettering saffron interactions antidepressants,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,2,0,5,3,authority:memorial sloan kettering
mskcc 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,4,authority:mskcc|permutation-burst
nccih 5-htp safety antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,4,authority:nccih|permutation-burst
nccih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,8,4,authority:nccih|permutation-burst
nih 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,4,authority:nih|permutation-burst
nih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,7.5,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10.5,4,authority:nih|permutation-burst
