dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,explainer,7,7,149,0,21.3,68.3
cluster,vitamin-d3,1,1,69,0,69.0,74.3
type,pillar,2,2,59,0,29.5,55.8
type,comparison,3,3,58,0,19.3,64.7
cluster,ashwagandha,2,2,56,0,28.0,61.5
cluster,magnesium-glycinate,1,1,50,0,50.0,71.2
cluster,omega-3-fish-oil,3,3,34,0,11.3,47.4
cluster,b-complex,4,4,32,0,8.0,49.1
cluster,probiotic-gut-brain,1,1,31,0,31.0,77.0
type,dosage,1,1,7,0,7.0,71.0
cluster,saffron-extract,1,1,1,0,1.0,26.0
