page,impressions,clicks,avg_position,queries
/blog/vitamin-d3-morning-or-night/,475,0,73.5,94
/blog/saffron-extract-vs-affron/,286,4,12.3,25
/blog/5-htp-serotonin-safety/,210,0,9.1,75
/blog/vitamin-d3-vs-b12/,170,0,67.9,64
/blog/l-theanine-vs-caffeine/,147,0,82.9,52
/blog/ashwagandha-vs-ginseng/,107,0,53.0,32
/blog/magnesium-glycinate-vs-bisglycinate/,106,0,60.8,37
/blog/magnesium-glycinate-vs-chelate/,98,0,76.0,51
/blog/magnesium-glycinate-morning-or-night/,91,0,63.8,66
/guides/gut-brain/,88,0,83.0,8
/blog/adaptogens-ashwagandha-rhodiola/,82,0,76.1,30
/blog/ashwagandha-vs-ksm-66/,67,0,64.8,33
/blog/rhodiola-dosage-cycling/,56,0,66.5,43
/products/probiotic-gut-brain/,51,0,72.3,6
/blog/how-long-does-it-take-for-l-theanine-to-work/,48,0,42.4,36
/blog/vitamin-d3-vs-calcitriol/,42,0,44.6,23
/products/,40,0,89.2,5
/blog/saffron-extract-vs-ashwagandha/,32,0,60.4,12
/blog/how-long-does-magnesium-glycinate-take-to-work/,26,0,54.5,15
/blog/b-complex-dosage/,25,0,50.9,20
/blog/can-you-take-ashwagandha-with-lexapro/,19,0,50.3,16
/blog/omega-3-fish-oil-vs-algae/,18,0,77.7,7
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,18,0,80.3,7
/blog/fish-oil-and-cortisol/,15,0,38.3,4
/products/vitamin-d3/,14,0,92.7,2
/blog/5-htp-vs-ashwagandha/,10,0,55.4,7
/blog/omega-3-fish-oil-vs-cod-liver-oil/,10,0,69.0,10
/blog/glycine-dosage/,10,0,62.4,8
/blog/rhodiola-rosea-vs-ashwagandha/,10,0,78.1,6
/products/l-theanine/,10,0,80.3,3
/blog/l-theanine-dosage-anxiety/,9,0,65.2,9
/blog/ashwagandha-cortisol-research/,7,0,77.6,7
/blog/can-you-take-omega-3-fish-oil-with-statins/,7,0,46.3,5
/blog/b-vitamins-stress-adrenal/,4,0,49.7,2
/blog/saffron-pms-mood-swings/,4,0,85.2,4
/guides/winter-mood/,4,0,119.8,4
/blog/lemon-balm-vs-ashwagandha/,3,0,72.0,2
/blog/best-time-to-take-fish-oil/,3,0,60.3,3
/blog/l-theanine-for-sleep/,3,0,63.0,3
/blog/can-you-take-l-theanine-with-lexapro/,3,0,37.7,3
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,3,0,10.3,1
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,3,0,10.3,1
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,3,0,10.3,1
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,3,0,10.3,1
/products/ashwagandha/,2,0,75.5,2
/blog/can-you-take-5-htp-with-adderall/,2,0,8.5,2
/guides/focus/,2,0,59.0,2
/blog/glycine-vs-b12/,2,0,36.5,2
/blog/l-theanine-kids-teens-safety/,2,0,42.5,2
/blog/magnesium-glycinate-vs-citrate/,2,0,78.5,1
/blog/l-tryptophan-and-melatonin-together/,2,0,81.0,1
/products/omega-3-fish-oil/,2,0,68.5,2
/blog/omega-3-dosage-for-mood/,2,0,68.5,2
/blog/can-you-take-saffron-extract-with-lexapro/,2,0,33.5,2
/blog/b-complex-vs-b1/,1,0,6.0,1
/blog/can-you-take-holy-basil-with-prozac/,1,0,46.0,1
/blog/how-long-does-rhodiola-rosea-take-to-work/,1,0,36.0,1
/blog/omega-3-brain-mood-evidence/,1,0,10.0,1
/blog/probiotic-vs-fiber/,1,0,59.0,1
/blog/can-you-take-rhodiola-rosea-with-levothyroxine/,1,0,47.0,1
/guides/anxiety/,1,0,64.0,1
/blog/silexan-lavender-dosage/,1,0,66.0,1
/blog/can-you-take-l-tyrosine-with-adderall/,1,0,50.0,1
/products/saffron-extract/,1,0,87.0,1
