CLUSTER:ashwagandha | KEYWORD:best ashwagandha for anxiety | ANGLE:Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T. Keyword: 'best ashwagandha for anxiety'. | SLUG:best-ashwagandha-for-anxiety | PRODUCTS: ashwagandha | TYPE:product-section | PRIORITY:P2
CLUSTER:5-htp | KEYWORD:best 5 htp for anxiety | ANGLE:Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T. Keyword: 'best 5 htp for anxiety'. | SLUG:best-5-htp-for-anxiety | PRODUCTS: 5-htp | TYPE:product-section | PRIORITY:P2
CLUSTER:b-complex | KEYWORD:best b complex for anxiety | ANGLE:Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T. Keyword: 'best b complex for anxiety'. | SLUG:best-b-complex-for-anxiety | PRODUCTS: b-complex | TYPE:product-section | PRIORITY:P2
CLUSTER:probiotic | KEYWORD:best probiotic for anxiety and depression | ANGLE:MEDIUM difficulty (practitioner + academic SERP, no consumer mega-authority) -- named-strain buying guide: L. helveticus R0052 + B. longum R0071/R075 combo trial data, 4-8wk timeline. | SLUG:best-probiotic-for-anxiety-and-depression | PRODUCTS: probiotic-gut-brain | TYPE:product-section | PRIORITY:P2
CLUSTER:lemon-balm | KEYWORD:best lemon balm for anxiety | ANGLE:Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T. Keyword: 'best lemon balm for anxiety'. | SLUG:best-lemon-balm-for-anxiety | PRODUCTS:  | TYPE:product-section | PRIORITY:P2
CLUSTER:valerian-root | KEYWORD:best brand of valerian root for sleep | ANGLE:Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T. Keyword: 'best brand of valerian root for sleep'. | SLUG:best-brand-of-valerian-root-for-sleep | PRODUCTS:  | TYPE:product-section | PRIORITY:P2
CLUSTER:rhodiola-rosea | KEYWORD:best brand for rhodiola rosea | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best brand for rhodiola rosea'. | SLUG:best-brand-for-rhodiola-rosea | PRODUCTS: rhodiola-rosea | TYPE:pillar | PRIORITY:P3
CLUSTER:saffron-extract | KEYWORD:best brand for saffron extract | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best brand for saffron extract'. | SLUG:best-brand-for-saffron-extract | PRODUCTS: saffron-extract | TYPE:pillar | PRIORITY:P3
CLUSTER:vitamin-d3 | KEYWORD:best vitamin d3 for absorption | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best vitamin d3 for absorption'. | SLUG:best-vitamin-d3-for-absorption | PRODUCTS: vitamin-d3 | TYPE:pillar | PRIORITY:P3
CLUSTER:omega-3-fish-oil | KEYWORD:best omega 3 fish oil for cholesterol | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best omega 3 fish oil for cholesterol'. | SLUG:best-omega-3-fish-oil-for-cholesterol | PRODUCTS: omega-3-fish-oil | TYPE:pillar | PRIORITY:P3
CLUSTER:glycine | KEYWORD:best foods for glycine | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best foods for glycine'. | SLUG:best-foods-for-glycine | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
CLUSTER:passionflower | KEYWORD:best form of passionflower | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best form of passionflower'. | SLUG:best-form-of-passionflower | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
CLUSTER:l-tryptophan | KEYWORD:best brand for l tryptophan | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best brand for l tryptophan'. | SLUG:best-brand-for-l-tryptophan | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
CLUSTER:taurine | KEYWORD:best taurine for women | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best taurine for women'. | SLUG:best-taurine-for-women | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
CLUSTER:holy-basil | KEYWORD:best form of holy basil | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best form of holy basil'. | SLUG:best-form-of-holy-basil | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
CLUSTER:l-tyrosine | KEYWORD:best brand for l tyrosine | ANGLE:Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only. Keyword: 'best brand for l tyrosine'. | SLUG:best-brand-for-l-tyrosine | PRODUCTS:  | TYPE:pillar | PRIORITY:P3
